snapped_at,price,market_cap,total_volume
2023-11-20 00:00:00 UTC,0.28088906328390423,0.0,77585558.87725319
2023-11-21 00:00:00 UTC,0.28088906328390423,0.0,77585558.87725319
2023-11-22 00:00:00 UTC,0.30109965745213574,455908152.48952484,127929911.36297128
2023-11-23 00:00:00 UTC,0.42304725450748304,624930656.3024733,218970288.25690767
2023-11-24 00:00:00 UTC,0.4978655901576802,747620230.8441662,202089269.10908005
2023-11-25 00:00:00 UTC,0.47854858872843475,715672097.6475898,202321660.47268155
2023-11-26 00:00:00 UTC,0.49385481871067655,741205272.6684561,94357899.6881922
2023-11-27 00:00:00 UTC,0.4423192551068585,662502058.2521653,85453753.0378922
2023-11-28 00:00:00 UTC,0.4160811317265394,621486925.8503941,89778061.78272055
2023-11-29 00:00:00 UTC,0.4204279612981214,629521033.4701034,79681457.38031219
2023-11-30 00:00:00 UTC,0.4008708414980931,601143300.728437,54035781.83391366
2023-12-01 00:00:00 UTC,0.38152306134156816,572634342.3922061,46821967.22707343
2023-12-02 00:00:00 UTC,0.39663015806714047,594678743.1763268,45363788.575899445
2023-12-03 00:00:00 UTC,0.4549757625187452,679167559.4392325,86899594.44996639
2023-12-04 00:00:00 UTC,0.43443024744017855,650259801.4480505,61405464.86786155
2023-12-05 00:00:00 UTC,0.4204298095917769,629587170.033891,171431064.09585416
2023-12-06 00:00:00 UTC,0.43700939097107233,656022416.12769,132768933.32245009
2023-12-07 00:00:00 UTC,0.42547596866800325,638381523.7214856,144175693.7973238
2023-12-08 00:00:00 UTC,0.4328171225473968,648457616.2615223,86109240.43657409
2023-12-09 00:00:00 UTC,0.4664558594976047,702204396.5871005,170922963.0871422
2023-12-10 00:00:00 UTC,0.4517325461358678,677320164.4627872,90542126.13523263
2023-12-11 00:00:00 UTC,0.458881509762235,687647637.1444255,52785290.708351195
2023-12-12 00:00:00 UTC,0.40899460109476016,613377950.2468014,92691064.03108749
2023-12-13 00:00:00 UTC,0.40676383330284127,609990870.235412,78075268.82161951
2023-12-14 00:00:00 UTC,0.3973546373809367,596242306.4119358,69076785.45832242
2023-12-15 00:00:00 UTC,0.39681979149242874,593718158.6857455,82788743.70463398
2023-12-16 00:00:00 UTC,0.376726545953741,568999455.4183067,109559941.21117714
2023-12-17 00:00:00 UTC,0.39495164527202326,590533301.9359953,62843222.5089828
2023-12-18 00:00:00 UTC,0.37404183044516315,561037970.3036423,66044906.76326599
2023-12-19 00:00:00 UTC,0.352019768828018,527581280.6293143,67487017.92568642
2023-12-20 00:00:00 UTC,0.3278161562954374,490637988.14264417,43828738.03818467
2023-12-21 00:00:00 UTC,0.34340496850804814,514470145.1159043,41503642.627027035
2023-12-22 00:00:00 UTC,0.38884869423986435,583546472.390163,66542156.99122812
2023-12-23 00:00:00 UTC,0.36599006571035486,550151054.5512711,54970544.251315325
2023-12-24 00:00:00 UTC,0.3753757613750946,563105783.7998201,43437125.03912463
2023-12-25 00:00:00 UTC,0.35041011319921617,525733622.74336547,43998371.18818093
2023-12-26 00:00:00 UTC,0.3715669561404406,557811809.4742044,44169836.23935271
2023-12-27 00:00:00 UTC,0.3407097064166092,511190654.93656605,65218227.21170855
2023-12-28 00:00:00 UTC,0.33742110303796446,504846723.2246553,38604533.232491665
2023-12-29 00:00:00 UTC,0.3328190995231187,500039546.8063089,39804661.08841697
2023-12-30 00:00:00 UTC,0.3257370259765187,488075596.1171838,42240056.329130456
2023-12-31 00:00:00 UTC,0.33145859910908215,497793478.948359,15314791.792463
2024-01-01 00:00:00 UTC,0.32383356542919656,485050945.0756497,18764659.612153836
2024-01-02 00:00:00 UTC,0.3561766905461511,533248223.91491055,21349403.58373002
2024-01-03 00:00:00 UTC,0.32952531197279206,492446153.6114088,37345881.39234443
2024-01-04 00:00:00 UTC,0.27992684110661403,419877300.8215755,70183414.5074716
2024-01-05 00:00:00 UTC,0.296891151232802,444816541.07178,37432226.55267332
2024-01-06 00:00:00 UTC,0.2776758788498393,415345086.46076775,40973474.526807815
2024-01-07 00:00:00 UTC,0.2708690949111275,406301729.0912037,30389647.45279409
2024-01-08 00:00:00 UTC,0.2531244053807192,378518932.37468743,19007307.373844974
2024-01-09 00:00:00 UTC,0.2642412365298755,396439801.8924351,23045796.19159357
2024-01-10 00:00:00 UTC,0.246373218262284,368880519.65308034,23974069.21378751
2024-01-11 00:00:00 UTC,0.27210724331657066,410257047.9686082,35735432.79075974
2024-01-12 00:00:00 UTC,0.29171007432888413,437883849.4988031,48005061.283271715
2024-01-13 00:00:00 UTC,0.27690097763764376,414024212.10685575,38808286.63160498
2024-01-14 00:00:00 UTC,0.3304720871618432,495265712.9513962,55506169.94023774
2024-01-15 00:00:00 UTC,0.3360626717743483,505935850.63595146,72495116.00275494
2024-01-16 00:00:00 UTC,0.34405161046321164,516584359.4075049,51404470.00466579
2024-01-17 00:00:00 UTC,0.3338214794234626,501657296.4352281,38741484.699772276
2024-01-18 00:00:00 UTC,0.3580545972235932,537203024.369235,80069710.46157095
2024-01-19 00:00:00 UTC,0.33722663922370627,506759644.24286324,55469636.82161171
2024-01-20 00:00:00 UTC,0.34712539859731123,520419346.08224297,46079967.01119312
2024-01-21 00:00:00 UTC,0.40638417614881145,612858110.665226,125364141.12552811
2024-01-22 00:00:00 UTC,0.4213116692927019,633933765.1416205,87232207.43674135
2024-01-23 00:00:00 UTC,0.38798691581701655,577783325.133631,84389358.13257276
2024-01-24 00:00:00 UTC,0.3783828604090195,567140950.1715451,75405619.59264952
2024-01-25 00:00:00 UTC,0.38075377842083247,570840283.1709119,50431935.771348536
2024-01-26 00:00:00 UTC,0.405718848845267,608044016.8398958,58029902.668005355
2024-01-27 00:00:00 UTC,0.3919749408979023,587620795.961,47156640.27250927
2024-01-28 00:00:00 UTC,0.4000912106373623,597685438.4779634,36702640.34357329
2024-01-29 00:00:00 UTC,0.3794411824047076,570239740.2457747,59855236.03189846
2024-01-30 00:00:00 UTC,0.4004825310698118,602008517.4974972,42514523.929733306
2024-01-31 00:00:00 UTC,0.4242715342637278,637744416.4442153,86779203.0015559
2024-02-01 00:00:00 UTC,0.4017672489550075,605081926.1877908,79687165.85820365
2024-02-02 00:00:00 UTC,0.4631448568698989,694491135.2903677,97107149.4732231
2024-02-03 00:00:00 UTC,0.47469725952508635,711985082.4430941,355398877.7678972
2024-02-04 00:00:00 UTC,0.47018213825265553,705021907.4241656,141170963.5546601
2024-02-05 00:00:00 UTC,0.48351953150724347,725965515.4002953,141921670.41536418
2024-02-06 00:00:00 UTC,0.4734591637862247,710049735.5596296,98783394.00154273
2024-02-07 00:00:00 UTC,0.484620112355257,726619213.6078657,75244752.88785058
2024-02-08 00:00:00 UTC,0.4802015450230936,720538203.5714407,70781842.68344572
2024-02-09 00:00:00 UTC,0.49641960039202393,744501234.0451705,70002977.82424884
2024-02-10 00:00:00 UTC,0.5090169713488232,763076870.5590992,188381389.83276004
