"DateTime","BTC","ETH","USDT","SOL","BNB","Others"
"2013-05-05 02:00:00",1254762149.4585037,0,0,0,0,80617818.54149635
"2013-05-12 02:00:00",1288631442.1985626,0,0,0,0,74918509.80143735
"2013-05-19 02:00:00",1376371582.9864502,0,0,0,0,72448385.0135498
"2013-05-26 02:00:00",1478025338.3468628,0,0,0,0,70654597.65313727
"2013-06-02 02:00:00",1451925896.7685697,0,0,0,0,59084151.23143019
"2013-06-09 02:00:00",1215132962.064743,0,0,0,0,56547037.935257
"2013-06-16 02:00:00",1127123769.4660187,0,0,0,0,53126214.53398135
"2013-06-23 02:00:00",1224978150.4497528,0,0,0,0,63751833.55024716
"2013-06-30 02:00:00",1078255281.0598373,0,0,0,0,61514702.94016273
"2013-07-07 02:00:00",782351595.1761245,0,0,0,0,62558420.8238755
"2013-07-14 02:00:00",1126255795.1766968,0,0,0,0,63964236.82330319
"2013-07-21 02:00:00",1027641924.5498657,0,0,0,0,62368059.45013422
"2013-07-28 02:00:00",1082751497.501564,0,0,0,0,67108470.49843605
"2013-08-04 02:00:00",1207095508.649826,0,0,0,0,73944491.35017392
"2013-08-11 02:00:00",1188153836.9913101,0,0,0,0,100076179.00868988
"2013-08-18 02:00:00",1304320187.5,0,0,0,0,118079812.5
"2013-08-25 02:00:00",1387634726.846695,0,0,0,0,114395225.15330505
"2013-09-01 02:00:00",1572228888.3991241,0,0,0,0,113921127.60087582
"2013-09-08 02:00:00",1448178129.2066574,0,0,0,0,120611886.79334258
"2013-09-15 02:00:00",1514144913.5810852,0,0,0,0,119015022.41891474
"2013-09-22 02:00:00",1500263577.9748917,0,0,0,0,144496486.02510834
"2013-09-29 02:00:00",1587290660.6834412,0,0,0,0,187129307.31655878
"2013-10-06 02:00:00",1514538901.2016296,0,0,0,0,146111082.7983704
"2013-10-13 02:00:00",1599426159.3841553,0,0,0,0,134753808.61584473
"2013-10-20 02:00:00",2037436874.9656677,0,0,0,0,131273013.03433222
"2013-10-27 02:00:00",2102727707.672882,0,0,0,0,120962276.32711798
"2013-11-03 01:00:00",2459515515.8382416,0,0,0,0,141304452.16175845
"2013-11-10 01:00:00",4174930742.16156,0,0,0,0,219789513.83843994
"2013-11-17 01:00:00",5291729353.456879,0,0,0,0,201330742.54312164
"2013-11-24 01:00:00",9570991362.237549,0,0,0,0,450608893.7624512
"2013-12-01 01:00:00",13614267715.960693,0,0,0,0,1773432508.0393066
"2013-12-08 01:00:00",8431855057.728578,0,0,0,0,994564654.2714227
"2013-12-15 01:00:00",10611621813.113403,0,0,0,0,1357278282.886596
"2013-12-22 01:00:00",7315945127.667236,0,0,0,0,804295000.3327637
"2013-12-29 01:00:00",8872599591.235352,0,0,0,0,1227100120.7646477
"2014-01-05 01:00:00",10465659959.947205,0,0,0,0,1416439752.0527947
"2014-01-12 01:00:00",11264846810.934448,0,0,0,0,1338053669.0655518
"2014-01-19 01:00:00",10311486283.200073,0,0,0,0,1256914100.7999272
"2014-01-26 01:00:00",10510401359.825134,0,0,0,0,1246998704.1748662
"2014-02-02 01:00:00",10279152361.30371,0,0,0,0,1245648150.696289
"2014-02-09 01:00:00",8307336964.846801,0,0,0,0,974612731.1531988
"2014-02-16 01:00:00",8077341036.109925,0,0,0,0,1015438995.8900751
"2014-02-23 01:00:00",7539892425.518799,0,0,0,0,916707638.4812012
"2014-03-02 01:00:00",7069287981.335449,0,0,0,0,991821778.6645508
"2014-03-09 01:00:00",7697912170.256043,0,0,0,0,1139147413.743957
"2014-03-16 01:00:00",7968200287.5,0,0,0,0,1105910176.5
"2014-03-23 01:00:00",7099236203.976441,0,0,0,0,1062163604.023559
"2014-03-30 01:00:00",6193557126.830292,0,0,0,0,744693113.1697079
"2014-04-06 02:00:00",5843663675.262451,0,0,0,0,640366276.7375488
"2014-04-13 02:00:00",5326230585.36377,0,0,0,0,561879494.6362305
"2014-04-20 02:00:00",6356071183.252716,0,0,0,0,745688816.7472836
"2014-04-27 02:00:00",5805536630.79071,0,0,0,0,583553161.2092892
"2014-05-04 02:00:00",5580025865.306091,0,0,0,0,558154230.6939087
"2014-05-11 02:00:00",5789009426.834106,0,0,0,0,622880749.1658936
"2014-05-18 02:00:00",5735392705.266571,0,0,0,0,609047102.7334286
"2014-05-25 02:00:00",6729114876.782227,0,0,0,0,671134979.2177734
"2014-06-01 02:00:00",8007458710.009766,0,0,0,0,674471017.9902344
"2014-06-08 02:00:00",8428526959.350586,0,0,0,0,686222992.6494141
"2014-06-15 02:00:00",7427193645.999145,0,0,0,0,642986194.0008551
"2014-06-22 02:00:00",7703559805.123901,0,0,0,0,642110338.8760986
